year,title,narrative location 1,latitude 1,longitude 1,narrative location 2,latitude 2,longitude 2,narrative location 3,latitude 3,longitude 3,narrative location 4,latitude 4,longitude 4,narrative location 5,latitude 5,longitude 5,narrative location 6,latitude 6,longitude 6,narrative location 7,latitude 7,longitude 7,narrative location 8,latitude 8,longitude 8,narrative location 9,latitude 9,longitude 9,narrative location 10,latitude 10,longitude 10,narrative location 11,latitude 11,longitude 11,narrative location 12,latitude 12,longitude 12,narrative location 13,latitude 13,longitude 13,narrative location 14,latitude 14,longitude 14,narrative location 15,latitude 15,longitude 15,narrative location 16,latitude 16,longitude 16
2008,The Solitude of Prime Numbers,Turin,45.06666667,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Stabat Mater,Venice,45.43972222,12.33194444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,The Mussolini Canal,Po Valley,45.33027778,9.798888889,Codigoro,44.83333333,12.11666667,Rome,41.89305556,12.48277778,Pontine Marshes,41.46666667,12.9,Lazio,41.9,12.71666667,Borgo Podgora,41.51382222,12.85440278,Latina,41.46722222,12.90361111,Monti Lepini,41.58,13,Ethiopia,9,40,Albania,41,20,Russia,66.41666667,94.25,Africa,21.09375,7.1881,Pontine Marshes,41.46666667,12.9,Anzio,41.44722222,12.62833333,Cisterna di Latina,41.6,12.83333333,Aprilia,41.58333333,12.65
2011,Story of my people,Prato,43.88081389,11.09656111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,Inseparables,Rome,41.89305556,12.48277778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,Resistance is futile,Rebibbia,41.93097,12.571664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,The desire to be like everyone,Italy,42.5,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Ferocity,Bari,41.12527778,16.86666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,The Catholic School,Rome,41.89305556,12.48277778,San Felice Circeo,41.23527778,13.09555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,The Eight Mountains: A Novel,Milan,45.46694444,9.19,Brusson,45.76666667,7.733333333,Turin,45.06666667,7.7,Nepal,28,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,The Girl with the Leica,Paris,48.85694444,2.351388889,Spain,40.2,-3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,M. Il figlio del secolo,Italy,42.5,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,The Hummingbird,Rome,41.89305556,12.48277778,Florence,43.77138889,11.25416667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Due vite,Rome,41.89305556,12.48277778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
